"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76"
"56",-0.0262,-0.0095,0.0656,-0.0282,-0.043,-0.0192,-0.1378,-0.0058,-0.2165,0.0112,-0.2,0.6,-0.3,0.3494,-0.082,0.0225,-0.0396,0.5499,-0.1031,-0.1032,0.0111,-0.0531,0.293,0.5225,-0.2531,0.2572,-0.3034,0.6572,0.453,0.1753,0.2378,0.2206,0.0143,-0.7,0.008,-0.073,0.5697,0.0693,0.0513,-0.0512,-0.1883,0.0519,-0.0216,-0.0483,-0.0062,0.1296,-0.016,0.1361,0.1203,-0.1957,-0.0571,-0.2326,-0.2287,0.3037,0.6779,1,0.0805,-0.0609,0.068,0.2427,-0.0906,0.5855,-0.0651,-0.0375,0.008,-6e-04,0.0719,0.0775,-0.1554,-0.0338,0.2983,0.1094,-0.3645,0.0481,0.0388,0.8
"57",0.0935,0.0646,0.1715,0.0336,0.0071,0.0474,-0.0216,0.1205,0.0437,-0.1927,0.0441,-0.02,0.0173,0.048,-0.0597,-0.1428,-0.0029,0.4395,-0.0116,0.0516,0.066,-0.0521,0.4455,0.2508,-0.0196,-0.0618,0.1186,0.2947,0.1929,0.0437,-0.0405,0.1733,-0.1309,-0.2234,-0.1166,-0.029,0.5298,-0.0892,0.0386,-0.0224,0.0393,-0.0879,0.0491,0.1618,-0.097,-0.026,-0.1272,-0.1743,-0.1126,0.0625,-0.0935,0.1398,0.0312,0.4363,0.2385,0.0805,1,0.0664,0.0812,-0.1264,-0.0483,0.2709,-0.0141,-0.1278,-0.0184,0.1703,-0.0012,-0.2255,0.0193,-0.007,0.4418,-0.1243,-0.1314,-0.1165,-0.0277,0.6
"58",0.0327,-0.0477,0.0175,0.0156,-0.0741,-0.0152,-0.049,-0.1275,0.0895,0.0497,0.2,-0.0916,0.1,-0.0578,0.0954,0.0683,0.1347,-0.0534,0.0462,-0.0044,0.0248,0.2019,0.0964,-0.0857,0.061,-0.042,0.0043,-0.0149,-0.0743,-0.0669,0.0427,-0.0304,-0.0583,-0.0314,-0.0177,-0.0921,0.0712,0.0043,0.0092,-0.0737,-0.0782,0.0404,0.0091,-0.0133,0.1119,0.0749,0.0545,-0.1688,0.0288,-0.0443,-0.0591,0.1685,0.0192,0.1946,0.0668,-0.0609,0.0664,1,-0.0071,-0.0695,0.2313,0.0424,0.0982,-0.0058,0.1289,-0.0095,-0.1025,0.2622,0.1122,0.03,0.0881,-0.0707,-0.1516,-0.0961,-0.0687,0.052
"59",-0.0372,0.0831,-0.0141,-0.0074,0.0475,-0.0019,0.0559,-0.0811,-0.066,0.0473,-0.0222,0.463,7e-04,0.0049,0.0182,-0.0378,-0.0193,-0.143,-0.0646,-0.0124,0.1053,0.2111,-0.0024,0.0541,0.1425,-0.1336,-0.0073,0.1111,0.0058,1,0.1636,-0.0823,0.0375,0.0053,0.0904,-0.0403,-0.0708,-0.0999,-0.0405,-0.1234,-0.0533,0.1036,0.1125,0.1808,-0.0373,0.0512,-0.0479,0.0297,0.0232,0.0649,-0.223,0.1045,-0.0565,-0.0904,0.0433,0.068,0.0812,-0.0071,1,-0.032,0.0096,0.1122,0.1601,0.1028,0.0425,0.0155,-0.0154,0.0935,0.0723,0.0307,-0.1394,0.0527,-0.004,0.0866,-0.0167,-0.0205
"60",-0.0815,-0.0826,-0.1296,-0.0413,-0.0473,-0.1383,-0.0329,-0.1833,-0.0137,0.0458,0.0291,0.1398,-0.0741,-0.0072,-0.0213,0.023,-0.023,-0.1057,0.0459,-0.3384,-0.2435,-0.0957,-0.0763,-0.0297,-0.0824,0.1385,-0.1137,0.0513,-0.0583,-0.0067,0.0156,-0.1397,0.1589,-0.0704,0.0025,-0.0125,0.1167,0.1038,0.1641,0.1087,-0.2959,0.1288,0.0199,-0.22,-0.1148,-8e-04,-0.0753,0.0745,-0.1508,-0.0933,-0.0418,-0.113,-0.1212,0.1112,0.1053,0.2427,-0.1264,-0.0695,-0.032,1,-0.2477,0.1026,0.0782,0.0834,-0.0542,0.0257,-0.107,0.0091,0.052,0.0266,-0.1898,0.1152,-0.0307,-0.049,-0.019,0.0155
"61",0.2802,0.2396,0.4077,0.0692,0.0053,0.2848,0.3202,0.1966,0.3538,-0.2157,0.2272,0.0876,0.6,0.0023,-0.0538,-0.0842,-0.0414,0.0953,-0.0563,-0.0018,0.0208,0.1297,0.0132,0.0246,0.1313,-0.0084,-0.2225,0.0641,-0.0907,0.0725,0.0662,-0.0539,-0.2546,0.1688,0.1207,0.0173,0.0257,-0.0792,-0.1365,-0.0226,0.0854,-0.0048,-0.0288,-0.0864,0.0877,-0.0529,-0.2293,-0.1507,0.1067,0.3412,0.4233,0.3917,0.3992,0.1741,-0.3291,-0.0906,-0.0483,0.2313,0.0096,-0.2477,1,-0.2959,0.3864,0.1413,0.0552,0.1301,0.0602,-0.1045,-0.1496,-0.1589,0.0873,-0.4044,-0.0342,-0.0602,0.0554,-0.0179
"62",-0.1157,0.0319,0.0045,-0.1128,0.1008,0.0488,-0.1356,-0.0067,-0.329,-0.0047,-0.0149,0.1935,-0.4,0.2731,-0.071,0.165,-0.1073,0.2656,-0.0013,0.0488,0.0149,-0.0107,0.2241,0.2625,-0.3824,0.0169,-0.2425,0.4629,0.4173,0.0696,0.0749,0.1172,0.1292,-0.8,0.0537,-0.2205,0.2771,-0.0536,-0.0307,-0.2147,0.0013,-0.074,-0.0573,0.0479,-0.014,0.2194,-0.0865,-0.0214,-0.0791,-0.286,-0.2595,-0.0613,-0.1361,0.2198,0.5371,0.5855,0.2709,0.0424,0.1122,0.1026,-0.2959,1,-0.2162,-0.2356,0.0173,-0.0277,0.0359,0.0607,-0.0211,-0.1221,0.1857,0.2604,-0.6107,0.0709,-0.081,0.6
"63",0.2513,0.2467,0.3298,-0.0224,-0.0566,0.1688,0.4844,0.0365,0.4193,-0.0694,0.2682,0.1035,0.7,-0.0093,-0.1077,-0.171,0.1017,-0.0511,-0.0596,-0.1344,0.175,0.0792,-0.0762,0.1194,0.1183,0.0163,-0.0101,0.0241,-0.216,0.1792,0.0428,-0.1573,0.0596,0.2651,0.0626,0.1071,-0.0163,0.0827,-0.2048,-0.0947,-0.0162,0.1918,0.2891,0.0509,-0.2964,-0.0358,-0.1555,0.0071,0.103,0.655,0.3559,0.4517,0.1671,0.301,-0.1724,-0.0651,-0.0141,0.0982,0.1601,0.0782,0.3864,-0.2162,1,0.4699,0.0269,0.1127,0.0262,-0.1198,-0.0544,-0.0733,-0.0509,-0.2216,0.0398,-0.1299,0.1295,-0.0718
"64",0.0987,0.1132,0.2422,-0.0863,0.0032,0.2317,0.1771,0.0372,0.1689,0.1231,0.0995,0.0324,0.3,-0.0456,6e-04,0.0507,0.099,0.166,0.0181,-0.1719,0.0383,0.1307,0.0863,-0.1313,0.0298,0.0481,0.1347,0.0171,-0.0545,0.0429,0.1289,-0.1225,-0.1074,0.1386,0.1494,0.1283,-0.0011,0.0711,-0.0651,-0.024,0.1362,0.1366,0.1983,-0.084,-0.1737,-0.0976,-0.1305,0.0194,0.099,0.1056,-0.1276,0.1048,0.0901,0.142,-0.1109,-0.0375,-0.1278,-0.0058,0.1028,0.0834,0.1413,-0.2356,0.4699,1,0.1292,-0.1511,0.0484,-0.1344,-0.043,0.0592,-0.0909,-0.185,0.0361,0.0297,0.1028,-0.0265
"65",0.0024,-0.043,-0.0227,0.041,-0.047,-0.0357,-0.1071,0.1316,-0.0096,-0.0806,0.0039,0.4096,-0.0208,-0.0028,-0.1023,0.0665,0.0372,-0.2029,0.0411,-0.0187,0.0969,0.1345,0.0656,-0.0204,0.1469,0.0909,0.1783,0.0928,0.0012,0.0955,1,0.0434,-0.0779,0.0027,0.0815,-0.0478,-0.1039,0.0672,-0.0819,0.0171,0.1256,0.0979,-0.0162,0.0527,-0.0598,0.0387,0.0622,-0.1049,0.0779,-0.1088,-0.1441,0.0434,-0.047,0.0708,0.0256,0.008,-0.0184,0.1289,0.0425,-0.0542,0.0552,0.0173,0.0269,0.1292,1,-0.1262,-0.0602,-0.0379,0.1309,-0.0411,0.0461,-0.0313,-0.0349,0.0544,-0.0228,0.0054
